unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession,author_id
1,Wadephul,Johann David,Dr.,NA,https://www.facebook.com/johann.wadephul/,NA,https://twitter.com/JoWadephul,1,1,1,4,Rendsburg-Eckernförde,1,1,1,1,1963,Molfsee,Husum,MdB / Rechtsanwalt,389682667
4,Storjohann,Gero,NA,NA,https://www.facebook.com/g.storjohann/,https://www.facebook.com/gero.storjohann,https://twitter.com/gero_storjohann,1,4,1,8,Segeberg – Stormarn-Mitte,1,1,1,1,1958,Seth,Bad Segeberg,MdB / Dipl.-Betriebswirt (FH),20534846
16,Lorenzen,Florian,NA,NA,https://www.facebook.com/florian.lorenzen.391,NA,https://twitter.com/FlorianLorenzen,1,16,0,NA,NA,1,0,1,1,1986,Sollwitt,Flensburg,Landwirt,378802255
24,Rix,Sönke,NA,NA,https://www.facebook.com/soenkerixmdb,https://www.facebook.com/soenkerix,https://twitter.com/soenkerix,1,2,1,4,Rendsburg-Eckernförde,1,1,2,1,1975,Eckernförde,Eckernförde,Erzieher,36327895
25,Scheer,Nina,Dr.,NA,https://www.facebook.com/ninascheer.spd,NA,https://twitter.com/NinaScheer_SPD,1,3,1,10,Herzogtum Lauenburg – Stormarn-Süd,1,1,2,0,1971,Siebeneichen,Berlin,Juristin / Politikwissenschaftlerin / Musikerin,845213960060243968
26,Rossmann,Ernst Dieter,Dr.,NA,https://www.facebook.com/ErnstDieterRossmann,https://www.facebook.com/rossmannpi,https://twitter.com/edrossmann,1,4,1,7,Pinneberg,1,1,2,1,1951,Elmshorn,Elmshorn,MdB / Dipl.-Psychologe,38645930
29,Wagner,Alexander,NA,NA,https://www.facebook.com/wagner.alexander,NA,https://twitter.com/alexwagner_sh,1,7,1,8,Segeberg – Stormarn-Mitte,1,0,2,1,1987,Bad Segeberg,Güstrow,Politikwissenschaftler,622695526
30,Teschendorf,Clemens,NA,NA,https://www.facebook.com/Bundestagskandidat.WK1,https://www.facebook.com/clemens.teschendorf,https://twitter.com/Teschendorf,1,8,1,1,Flensburg – Schleswig,1,0,2,1,1974,Steinbergkirche,Bielefeld,Dipl.-Politologe,18770091
31,Stein,Jens Mathias,NA,NA,https://www.facebook.com/mathias.stein.spd,https://www.facebook.com/mathias.stein.7,https://twitter.com/stonie_kiel,1,9,1,5,Kiel,1,0,2,1,1970,Kiel,Kiel,Bauzeichner,46498076
40,Stübe,Yves-Christian,NA,NA,https://www.facebook.com/yveschristian.stube,NA,https://twitter.com/stuebetour,1,18,0,NA,NA,1,0,2,1,1978,Kiel,Eckernförde,Immobilienkaufmann,166980353
42,Ilgen,Matthias,NA,NA,http://www.facebook.com/matthias.ilgen,NA,https://twitter.com/MatthiasIlgen,0,NA,1,2,Nordfriesland – Dithmarschen Nord,1,1,2,1,1983,Husum,Husum,MdB / selbständig,2156382000
45,Aschenberg-Dugnus,Christine,NA,NA,https://www.facebook.com/christine.aschenbergdugnus,NA,https://twitter.com/cad59,1,3,1,4,Rendsburg-Eckernförde,1,0,6,0,1959,Strande,Eppstein / Ts.,Rechtsanwältin,25980076
46,Jensen,Gyde,NA,NA,https://www.facebook.com/gyde.jensen.33,NA,https://twitter.com/GydeJ,1,4,0,NA,NA,1,0,6,0,1989,Neudorf-Bornstein,Rendsburg,Politikwissenschaftlerin,1530171613
53,Brodersen,Berthold,NA,NA,https://www.facebook.com/berthold.brodersen,NA,https://twitter.com/BertholdBroder1,0,NA,1,2,Nordfriesland – Dithmarschen Nord,1,0,6,1,1952,Niebüll,Niebüll,Unternehmensberater,822722970862948352
56,Notz,Konstantin,Dr.,von,https://www.facebook.com/KonstantinNotz,https://www.facebook.com/konstantin.vonnotz,https://twitter.com/KonstantinNotz,1,2,1,10,Herzogtum Lauenburg – Stormarn-Süd,1,1,4,1,1971,Mölln,Mölln,MdB / Jurist,17752770
58,Nickel,Jörg,Dr.,NA,https://www.facebook.com/joerg.nickel,NA,https://twitter.com/Joerg_Nickel,1,4,0,NA,NA,1,0,4,1,1967,Kiel,Hamburg,Meeresbiologe,16160411
60,Brunken,Jakob,NA,NA,https://www.facebook.com/jakob.brunken,NA,https://twitter.com/happy_gruen,1,6,1,9,Ostholstein – Stormarn-Nord,1,0,4,1,1987,Kasseedorf,Hannover,Zimmerermeister,490635718
62,Regis,Steffen,NA,NA,https://www.facebook.com/steffen.regis,NA,https://twitter.com/dm2sr,1,8,0,NA,NA,1,0,4,1,1989,Kiel,Horb am Neckar,Student,371774541
67,Wagner,Arfst,NA,NA,https://www.facebook.com/Arfst-Wagner-662908773754275,https://www.facebook.com/arfst.wagner,https://twitter.com/Arfst_Wagner,0,NA,1,2,Nordfriesland – Dithmarschen Nord,1,0,4,1,1954,Tetenhusen,Wyk auf Föhr,Lehrer,16698636
69,Fürter,Thorsten,NA,NA,https://www.facebook.com/fuerter.luebeck/,https://www.facebook.com/fuerter,https://twitter.com/gruenaushl,0,NA,1,11,Lübeck,1,0,4,1,1970,Lübeck,Hamburg,Richter am OLG,340212200
